id,title,url,author,status,created_at,updated_at,published_at,featured,tags,post_access,email_recipients,sends,opens,clicks,signups,feedback_more_like_this,feedback_less_like_this
69d66adbfddfc90001b890d3,Comment fonctionne BeeWyze pour les associations ?,https://blog.beewyze.com/comment-fonctionne-beewyze-pour-les-associations/,Laurent Quatrefages,published and emailed,2026-04-08T14:48:59.000Z,2026-04-10T13:53:56.000Z,2026-04-10T13:53:56.000Z,true,"Industrie Musicale, RSE & Impact",Public,All subscribers,10,7,2,0,1,0
69bd6104ce521e0001b53db7,"Concerts, petites salles et artistes émergents : ce que disent vraiment les chiffres de la billetterie",https://blog.beewyze.com/billetterie-concerts-artistes-emergents/,Laurent Quatrefages,published and emailed,2026-03-20T15:00:20.000Z,2026-04-07T12:38:40.000Z,2026-04-07T12:38:40.000Z,true,"Industrie Musicale, Monétisation",Public,All subscribers,10,5,1,0,0,0
69cce1ec599f500001d08b07,59 000 albums vendus sans Spotify : ce que Sturgill Simpson t'apprend sur ton prochain concert,https://blog.beewyze.com/sturgill-simpson-streaming-lecon-artistes/,Laurent Quatrefages,published and emailed,2026-04-01T09:14:20.000Z,2026-04-01T11:39:35.000Z,2026-04-01T11:39:35.000Z,true,"Culture & Tendances, Industrie Musicale, Stratégie Musicale",Public,All subscribers,10,5,0,0,0,0
69c6c8e508b388000171d101,Comment fonctionne BeeWyze quand tu es artiste ?,https://blog.beewyze.com/comment-fonctionne-beewyze-pour-les-artistes/,Laurent Quatrefages,published and emailed,2026-03-27T18:13:57.000Z,2026-03-31T11:28:35.000Z,2026-03-31T11:22:41.000Z,true,"Monétisation, Stratégie Musicale",Public,All subscribers,10,5,0,0,1,0
69c2c4e9071e3100017e2b2a,"""Mes dons ont été multipliés par 3"" : Malenz raconte son premier concert avec BeeWyze",https://blog.beewyze.com/malenz-concert-beewyze-temoignage-dons-multiplies/,Laurent Quatrefages,published and emailed,2026-03-24T17:07:53.000Z,2026-03-27T08:38:52.000Z,2026-03-27T08:35:25.000Z,true,Monétisation,Public,All subscribers,10,6,1,0,0,0
69bbe1a4ce521e0001b53d60,"Le streaming ralentit, le vinyle explose : quel bilan pour l'industrie musicale ?",https://blog.beewyze.com/streaming-ralentit-vinyle-explose/,Laurent Quatrefages,published and emailed,2026-03-19T11:44:36.000Z,2026-03-19T12:13:52.000Z,2026-03-19T12:13:52.000Z,true,"Industrie Musicale, Stratégie Musicale",Public,All subscribers,10,6,1,0,1,0
69b02d6c3a922a0001024521,"YARA LNC : l'association qui scolarise 1 400 filles par an au Niger, et ce que ça change pour tes concerts",https://blog.beewyze.com/yara-lnc-association-partenaire-beewyze/,Laurent Quatrefages,published and emailed,2026-03-10T14:40:44.000Z,2026-03-12T13:34:20.000Z,2026-03-12T13:34:20.000Z,true,RSE & Impact,Public,All subscribers,9,8,1,1,1,0
69aef2456a48230001851446,Musique IA : 300 millions de dollars pour écouter des chansons que personne n'a composées,https://blog.beewyze.com/musique-ia-concert-live-artistes-independants/,Laurent Quatrefages,published and emailed,2026-03-09T16:16:05.000Z,2026-03-10T14:04:22.000Z,2026-03-10T14:04:22.000Z,true,"Industrie Musicale, Culture & Tendances, Monétisation",Public,All subscribers,8,8,1,0,0,0
699f2f15f363e6000152b00e,Le phonk : la bande-son que tu connais sans le savoir,https://blog.beewyze.com/phonk-bande-son-tiktok/,Laurent Quatrefages,published and emailed,2026-02-25T17:19:17.000Z,2026-02-26T13:00:28.000Z,2026-02-26T13:00:24.000Z,true,"Culture & Tendances, Industrie Musicale",Public,All subscribers,7,6,2,0,0,0
699d84adf363e6000152afb7,Comment vivre de sa musique en 2026 : 7 stratégies concrètes pour les artistes indépendants,https://blog.beewyze.com/comment-vivre-de-sa-musique/,Laurent Quatrefages,published and emailed,2026-02-24T10:59:57.000Z,2026-03-11T19:16:51.000Z,2026-02-24T11:33:45.000Z,false,"Monétisation, Stratégie Musicale, Industrie Musicale",Public,All subscribers,6,5,1,0,0,0
6998233004d8e70001886527,Comment gagner de l'argent avec sa musique en 2026 ?,https://blog.beewyze.com/gagner-argent-musique-strategies-artiste-independant/,Laurent Quatrefages,published and emailed,2026-02-20T09:02:40.000Z,2026-03-11T19:10:40.000Z,2026-02-20T09:30:46.000Z,false,"Monétisation, Stratégie Musicale, Industrie Musicale",Public,All subscribers,2,1,0,1,1,0
69947f4d6c8e0f00016dc36e,Comment Multiplier ses Revenus Musicaux : La Stratégie 1 Titre = 10 Actifs,https://blog.beewyze.com/multiplier-revenus-musicaux-strategie-versions/,Laurent Quatrefages,published only,2026-02-17T14:46:37.000Z,2026-03-11T19:10:28.000Z,2026-02-17T15:14:30.000Z,false,"Monétisation, Stratégie Musicale, Industrie Musicale",Public,,,,,1,,
699303e3a0dfd30001decb2c,Pourquoi Ma Musique Ne Décolle Pas ? [Étude Scientifique],https://blog.beewyze.com/pourquoi-musique-ne-decolle-pas-etude-reseaux/,Laurent Quatrefages,published only,2026-02-16T11:47:47.000Z,2026-02-17T15:49:36.000Z,2026-02-16T13:47:44.000Z,false,"Stratégie Musicale, Industrie Musicale",Public,,,,,0,,
